180302-05:00:47 login login successful 
180302-06:26:23 direct_request ori:(u'::1', 30372), dest:(u'31.13.80.12', 443) 
180302-06:26:23 direct_request ori:(u'::1', 42267), dest:(u'31.13.80.12', 443) 
180302-06:26:23 direct_request ori:(u'::1', 48864), dest:(u'31.13.80.36', 443) 
180302-06:26:23 direct_request ori:(u'::1', 43745), dest:(u'31.13.80.36', 443) 
180302-06:26:23 direct_request ori:(u'::1', 44308), dest:(u'31.13.80.36', 443) 
180302-06:26:23 direct_request ori:(u'::1', 23925), dest:(u'31.13.80.36', 443) 
180302-06:26:23 direct_request ori:(u'::1', 49977), dest:(u'31.13.80.12', 443) 
180302-06:26:23 direct_request ori:(u'::1', 43143), dest:(u'31.13.80.12', 443) 
180302-06:26:25 direct_request ori:(u'::1', 34355), dest:(u'31.13.80.12', 443) 
180302-06:26:25 direct_request ori:(u'::1', 48036), dest:(u'31.13.80.36', 443) 
180302-06:26:27 direct_request ori:(u'::1', 25959), dest:(u'172.217.7.130', 443) 
180302-06:26:27 direct_request ori:(u'::1', 20166), dest:(u'172.217.12.226', 443) 
180302-06:26:27 direct_request ori:(u'::1', 46460), dest:(u'172.217.7.130', 443) 
180302-06:26:27 direct_request ori:(u'::1', 19853), dest:(u'172.217.12.226', 443) 
180302-06:26:27 direct_request ori:(u'::1', 33290), dest:(u'31.13.80.12', 443) 
180302-06:26:28 direct_request ori:(u'::1', 11536), dest:(u'31.13.80.12', 443) 
180302-06:26:28 direct_request ori:(u'::1', 44795), dest:(u'31.13.80.12', 443) 
180302-06:26:28 direct_request ori:(u'::1', 41938), dest:(u'31.13.80.36', 443) 
180302-06:26:28 direct_request ori:(u'::1', 11120), dest:(u'31.13.80.12', 443) 
180302-06:26:28 direct_request ori:(u'::1', 39889), dest:(u'31.13.80.12', 443) 
180302-06:26:28 direct_request ori:(u'::1', 19433), dest:(u'172.217.7.206', 80) 
180302-06:26:29 direct_request ori:(u'::1', 32899), dest:(u'31.13.80.36', 443) 
180302-06:26:29 direct_request ori:(u'::1', 47050), dest:(u'172.217.5.228', 443) 
180302-06:26:32 direct_request ori:(u'::1', 30126), dest:(u'31.13.80.12', 443) 
180302-06:26:33 direct_request ori:(u'::1', 27867), dest:(u'31.13.71.7', 443) 
180302-06:26:33 direct_request ori:(u'::1', 26775), dest:(u'31.13.80.8', 443) 
180302-06:26:33 direct_request ori:(u'::1', 22969), dest:(u'31.13.80.36', 443) 
180302-06:26:33 direct_request ori:(u'::1', 29579), dest:(u'31.13.80.2', 443) 
180302-06:26:34 direct_request ori:(u'::1', 33324), dest:(u'31.13.80.2', 443) 
180302-06:26:36 direct_request ori:(u'::1', 40733), dest:(u'31.13.80.12', 443) 
180302-06:26:36 direct_request ori:(u'::1', 21360), dest:(u'31.13.80.12', 443) 
180302-06:26:38 direct_request ori:(u'::1', 48500), dest:(u'31.13.80.36', 443) 
180302-06:26:38 direct_request ori:(u'::1', 14265), dest:(u'31.13.80.36', 443) 
180302-06:26:39 direct_request ori:(u'::1', 45078), dest:(u'31.13.80.8', 443) 
180302-06:27:00 direct_request ori:(u'::1', 31916), dest:(u'31.13.80.12', 443) 
180302-06:27:00 direct_request ori:(u'::1', 42310), dest:(u'31.13.80.12', 443) 
180302-06:27:00 direct_request ori:(u'::1', 13358), dest:(u'31.13.80.12', 443) 
180302-06:27:00 direct_request ori:(u'::1', 25081), dest:(u'31.13.80.12', 443) 
180302-06:27:00 direct_request ori:(u'::1', 20942), dest:(u'31.13.80.12', 443) 
180302-06:27:00 direct_request ori:(u'::1', 44986), dest:(u'31.13.80.12', 443) 
180302-06:27:00 direct_request ori:(u'::1', 15516), dest:(u'31.13.80.12', 443) 
180302-06:27:08 direct_request ori:(u'::1', 21018), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 28527), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 28985), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 26593), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 45006), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 33800), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 33586), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 12017), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 27091), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 43154), dest:(u'31.13.80.12', 443) 
180302-06:27:08 direct_request ori:(u'::1', 29128), dest:(u'31.13.80.12', 443) 
180302-06:27:08 direct_request ori:(u'::1', 23791), dest:(u'31.13.80.12', 443) 
180302-06:27:08 direct_request ori:(u'::1', 36161), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 46386), dest:(u'31.13.71.7', 443) 
180302-06:27:08 direct_request ori:(u'::1', 39485), dest:(u'31.13.71.7', 443) 
180302-06:27:09 direct_request ori:(u'::1', 27603), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 14484), dest:(u'31.13.71.7', 443) 
180302-06:27:09 direct_request ori:(u'::1', 47026), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 41867), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 11076), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 30119), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 37597), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 31267), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 37136), dest:(u'31.13.80.12', 443) 
180302-06:27:09 direct_request ori:(u'::1', 17664), dest:(u'31.13.80.12', 443) 
180302-06:27:10 direct_request ori:(u'::1', 23409), dest:(u'31.13.80.12', 443) 
180302-06:27:10 direct_request ori:(u'::1', 47762), dest:(u'31.13.80.12', 443) 
180302-06:27:10 direct_request ori:(u'::1', 24974), dest:(u'31.13.80.36', 443) 
180302-06:27:10 direct_request ori:(u'::1', 33420), dest:(u'31.13.80.36', 443) 
180302-06:27:10 direct_request ori:(u'::1', 14607), dest:(u'31.13.80.36', 443) 
